Area da unidade territorial  2016,Estabelecimentos de Saude SUS,Indice de Desenvolvimento Humano Municipal  2010 IDHM 2010,Matricula  Ensino fundamental  2015,Matricula  Ensino medio  2015,Numero de unidades locais,Pessoal ocupado total,PIB per capita a precos correntes  2014,Populacao residente ,Populacao residente  Homens,Populacao residente  Mulheres,Populacao residente alfabetizada,Populacao residente que frequentava creche ou escola ,Populacao residente religiao catolica apostolica romana,Populacao residente religiao espirita,Populacao residente religiao evangelicas,Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes  Rural,Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes  Urbana,Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar por situacao do domicilio  Rural,Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar por situacao do domicilio  Urbana,Cidade
488.756,2,0.604,772,209,71,521,7749.83,4370,2190,2180,3079,1278,3126,3,539,224.40,255.00,884.24,968.09,Berizal
427.803,4,0.594,830,167,46,223,6766.93,4498,2384,2114,2841,1176,3139,2,693,190.00,255.00,1155.54,1034.98,Bertopolis
343.856,73,0.749,55377,18558,8023,120187,53456.01,378089,186352,191737,326536,118538,192220,3561,134977,400.00,510.00,1586.34,2231.80,Betim
283.535,6,0.620,410,117,29,349,8148.90,3793,1970,1823,3070,884,3545,4,199,300.00,398.75,933.24,1275.67,Bias Fortes
140.082,10,0.744,1768,389,612,3662,14434.15,13653,6558,7095,11913,3455,9613,809,2210,436.00,510.00,1829.26,2204.08,Bicas
458.948,2,0.688,273,113,76,400,12735.48,2630,1320,1310,2249,552,2172,22,334,510.00,500.00,1817.04,1366.59,Biquinhas
860.669,17,0.704,5530,1601,1255,6953,16244.81,38516,19274,19242,33272,10683,31498,1379,4514,340.00,510.00,1386.31,2116.01,Boa Esperanca
503.770,3,0.645,446,105,131,745,7522.51,5007,2636,2371,3935,1148,4369,64,311,466.67,455.00,1303.31,1508.51,Bocaina de Minas
3227.627,25,0.700,7282,2159,1387,8104,13348.83,46654,23366,23288,37744,15791,38167,446,5929,255.00,370.00,963.55,1747.01,Bocaiuva
1213.546,22,0.750,6149,1701,1647,12125,20507.56,45624,22625,22999,40017,13073,37611,232,5839,432.50,550.00,1598.01,2599.04,Bom Despacho
412.021,5,0.673,885,255,220,1212,14713.05,6501,3249,3252,5425,1641,5529,13,789,202.00,405.00,848.92,1453.35,Bom Jardim de Minas
208.349,2,0.735,536,157,119,571,24180.16,3887,2022,1865,3260,952,3341,29,413,502.50,510.00,2211.60,1616.02,Bom Jesus da Penha
195.611,2,0.683,835,244,155,972,10273.02,5491,2709,2782,4615,1630,4644,23,663,327.50,510.00,1390.00,1947.88,Bom Jesus do Amparo
592.289,15,0.623,1934,533,189,1099,7925.87,15364,7824,7540,11889,3754,11825,22,2576,255.00,325.00,1105.66,1230.84,Bom Jesus do Galho
229.845,5,0.653,1486,355,183,947,10277.15,10457,5444,5013,8726,2585,9919,-,449,300.00,422.40,1093.20,1678.45,Bom Repouso
705.046,9,0.692,2159,682,482,2335,16068.54,17243,8551,8692,14399,4401,15774,113,1152,329.75,435.00,1199.89,1868.33,Bom Sucesso
301.865,4,0.637,833,198,113,669,10917.35,6818,3423,3395,5734,1473,5973,3,744,340.00,507.50,974.28,1894.15,Bonfim
1850.487,2,0.678,794,231,153,706,26872.94,5865,2977,2888,4819,1870,4877,23,643,306.25,418.00,1169.06,1649.18,Bonfinopolis de Minas
3904.932,1,0.537,1941,539,85,402,7528.37,9673,4995,4678,6506,3057,8743,-,798,119.14,306.00,702.21,1364.72,Bonito de Minas
301.108,9,0.730,1884,407,568,3079,13886.98,17118,8671,8447,14821,4126,14171,25,2332,360.00,510.00,1457.37,2102.21,Borda da Mata
334.089,9,0.702,1790,516,374,2300,12563.09,14920,7472,7448,12769,3398,12092,15,2471,510.00,510.00,1903.84,1891.03,Botelhos
1568.884,6,0.602,1155,358,109,516,6244.30,6497,3395,3102,4989,2260,4639,-,1313,170.00,255.00,722.12,996.29,Botumirim
223.351,4,0.625,642,136,59,437,6963.78,4637,2322,2315,3826,1243,4351,-,182,255.00,365.00,817.95,1090.48,Bras Pires
2509.694,4,0.674,2715,579,337,1654,11740.46,14226,7384,6842,11513,4545,11341,6,2403,300.00,404.00,1109.14,1638.41,Brasilandia de Minas
1399.484,20,0.656,4476,1533,608,3137,8152.83,31213,15591,15622,24714,9141,26096,-,3726,200.25,285.00,803.60,1604.73,Brasilia de Minas
378.318,5,0.624,672,194,54,580,20100.15,5030,2463,2567,3905,1447,3493,20,1127,255.00,333.33,1218.52,2101.80,Braunas
